title,artist,album,isrc,isFound
"Heilung,Alfadhirhaiti",,,,1
"Danheim,Framganga",,,,1
"Gealdýr,Ymir",,,,1
"Munknörr,Deyja",,,,1
"SKÁLD,Rún",,,,1
"Danheim,Runar",,,,1
"Nytt Land,Huginn and Muninn",,,,0
"The HU,Yuve Yuve Yu",,,,1
"Týr,Into the Storm",,,,1
"Heilung,In Maidjan",,,,1
"Apocalypse Orchestra,The Garden of Earthly Delights",,,,1
"Danheim,Berserkir",,,,1
"Gealdýr,Odin",,,,0
"Týr,Hold the Heathen Hammer High",,,,1
"Corvus Corax,Ragnarök",,,,1
"Brothers of Metal,Prophecy of Ragnarök",,,,1
"Antti Martikainen,One Against the World",,,,1
"Audiomachine,Blood and Stone",,,,1
"The HU,Wolf Totem",,,,1
"Danheim,Ivar's Revenge",,,,1
"Miracle of Sound,Valhalla Calling",,,,1
"Týr,By the Sword in My Hand",,,,1
"SKÁLD,Gleipnir",,,,1
"Wardruna,Raido",,,,1
"Nytt Land,U-Gra",,,,1
"Munknörr,Vargøld",,,,0
"Heilung,Krigsgaldr",,,,1
"Two Steps From Hell,Protectors of the Earth",,,,1
"Danheim,Vindöld",,,,1
"The HU,This Is Mongol",,,,1
"Apocalypse Orchestra,Pyre",,,,1
"Gealdýr,Fenrir",,,,0
"Antti Martikainen,Novum",,,,1
"Jo Blankenburg,Garador's Flight",,,,1
"Týr,Blood of Heroes",,,,1
"Brothers of Metal,Fire Blood and Steel",,,,1
"Peyton Parrish,Ragnarok",,,,1
"Miracle of Sound,Odin's Son",,,,0
"Danheim,Skapanir",,,,1
"Audiomachine,Guardians at the Gate",,,,1
"The HU,Black Thunder",,,,1
"Heilung,Hamrer Hippyer",,,,1
"Týr,Shadow of the Swastika",,,,1
"SKÁLD,Ó Valhalla",,,,1
"Wardruna,Helvegen",,,,1
"Osi and the Jupiter,Baldur",,,,1
"Forndom,Hemkomst",,,,1
"Corvus Corax,Mille Anni Passi Sunt",,,,1
"Antti Martikainen,Carmina Gloria",,,,0
"Danheim,Kala",,,,1
"Gealdýr,Loki",,,,1
"Heilung,Norupo",,,,1
"The HU,Sugaan Essena",,,,0
"Týr,Hail to the Hammer",,,,1
"Apocalypse Orchestra,Glass and Sun",,,,1
"Danheim,Heldom",,,,0
"Antti Martikainen,Origins",,,,0
"Jo Blankenburg,Chronicles",,,,0
"Brothers of Metal,Death of the God of Light",,,,1
"The HU,This Is Mongol (Warrior Souls)",,,,1
"Danheim,Vigr",,,,0
"Gealdýr,Týr",,,,0
"Munknörr,Midvinter",,,,0
"Wardruna,Rotlaust Tre Fell",,,,1
"Corvus Corax,Totus Floreo",,,,0
"Heilung,Anoana",,,,1
"Týr,Sinklars Vísa",,,,1
"Audiomachine,Tree of Life",,,,1
"Two Steps From Hell,Victory",,,,1
"Antti Martikainen,Northern Steel",,,,1
"Miracle of Sound,When the Wolf Comes Home",,,,0
"Danheim,Reida",,,,1
"SKÁLD,Seven Nation Army",,,,1
"Apocalypse Orchestra,Flagellants' Song",,,,1
"The HU,Teach Me",,,,1
"Gealdýr,Ragnarök",,,,1
"Týr,Northern Gate",,,,1
"Heilung,Traust",,,,1
"Wardruna,Lyfjaberg",,,,1
"Nytt Land,Ritual",,,,1
"Osi and the Jupiter,Appalachia",,,,1
"Forndom,Flykt",,,,1
"Corvus Corax,Venus Vina Musica",,,,1
"Peter Gundry,Viking's Last Voyage",,,,0
"Ivan Torrent,Afterlife",,,,1
"Really Slow Motion,Elysium",,,,0
"Antti Martikainen,Rise of the Raven",,,,0
"Danheim,Grimm",,,,0
"Brothers of Metal,Chain Breaker",,,,1
"The HU,Song of Women",,,,1
"Týr,Evening Star",,,,1
"Heilung,Othan",,,,1
"Wardruna,Dagr",,,,1
"SKÁLD,Chevaliers de la Table Ronde",,,,0
"Jo Blankenburg,Invictus",,,,0
"Audiomachine,Above and Beyond",,,,1
"Two Steps From Hell,Never Back Down",,,,1
"Antti Martikainen,A New Beginning",,,,0
"Forndom,Hemkomst",,,,1
"Wardruna,Helvegen",,,,1
