original_position,artist,title,status
7,Nytt Land,Huginn and Muninn,Spotify import miss
13,Gealdýr,Odin,Spotify import miss
26,Munknörr,Vargøld,Spotify import miss
32,Gealdýr,Fenrir,Spotify import miss
38,Miracle of Sound,Odin's Son,Spotify import miss
49,Antti Martikainen,Carmina Gloria,Spotify import miss
53,The HU,Sugaan Essena,Spotify import miss
56,Danheim,Heldom,Spotify import miss
57,Antti Martikainen,Origins,Spotify import miss
58,Jo Blankenburg,Chronicles,Spotify import miss
61,Danheim,Vigr,Spotify import miss
62,Gealdýr,Týr,Spotify import miss
63,Munknörr,Midvinter,Spotify import miss
65,Corvus Corax,Totus Floreo,Spotify import miss
71,Miracle of Sound,When the Wolf Comes Home,Spotify import miss
84,Peter Gundry,Viking's Last Voyage,Spotify import miss
86,Really Slow Motion,Elysium,Spotify import miss
87,Antti Martikainen,Rise of the Raven,Spotify import miss
88,Danheim,Grimm,Spotify import miss
94,SKÁLD,Chevaliers de la Table Ronde,Spotify import miss
95,Jo Blankenburg,Invictus,Spotify import miss
98,Antti Martikainen,A New Beginning,Spotify import miss
