position,artist,title
1,Heilung,Alfadhirhaiti
2,Danheim,Framganga
3,Gealdýr,Ymir
4,Munknörr,Deyja
5,SKÁLD,Rún
6,Danheim,Runar
7,The HU,Yuve Yuve Yu
8,Týr,Into the Storm
9,Heilung,In Maidjan
10,Apocalypse Orchestra,The Garden of Earthly Delights
11,Danheim,Berserkir
12,Týr,Hold the Heathen Hammer High
13,Corvus Corax,Ragnarök
14,Brothers of Metal,Prophecy of Ragnarök
15,Antti Martikainen,One Against the World
16,Audiomachine,Blood and Stone
17,The HU,Wolf Totem
18,Danheim,Ivar's Revenge
19,Miracle of Sound,Valhalla Calling
20,Týr,By the Sword in My Hand
21,SKÁLD,Gleipnir
22,Wardruna,Raido
23,Nytt Land,U-Gra
24,Heilung,Krigsgaldr
25,Two Steps From Hell,Protectors of the Earth
26,Danheim,Vindöld
27,The HU,This Is Mongol
28,Apocalypse Orchestra,Pyre
29,Antti Martikainen,Novum
30,Jo Blankenburg,Garador's Flight
31,Týr,Blood of Heroes
32,Brothers of Metal,Fire Blood and Steel
33,Peyton Parrish,Ragnarok
34,Danheim,Skapanir
35,Audiomachine,Guardians at the Gate
36,The HU,Black Thunder
37,Heilung,Hamrer Hippyer
38,Týr,Shadow of the Swastika
39,SKÁLD,Ó Valhalla
40,Wardruna,Helvegen
41,Osi and the Jupiter,Baldur
42,Forndom,Hemkomst
43,Corvus Corax,Mille Anni Passi Sunt
44,Danheim,Kala
45,Gealdýr,Loki
46,Heilung,Norupo
47,Týr,Hail to the Hammer
48,Apocalypse Orchestra,Glass and Sun
49,Brothers of Metal,Death of the God of Light
50,The HU,This Is Mongol (Warrior Souls)
51,Wardruna,Rotlaust Tre Fell
52,Heilung,Anoana
53,Týr,Sinklars Vísa
54,Audiomachine,Tree of Life
55,Two Steps From Hell,Victory
56,Antti Martikainen,Northern Steel
57,Danheim,Reida
58,SKÁLD,Seven Nation Army
59,Apocalypse Orchestra,Flagellants' Song
60,The HU,Teach Me
61,Gealdýr,Ragnarök
62,Týr,Northern Gate
63,Heilung,Traust
64,Wardruna,Lyfjaberg
65,Nytt Land,Ritual
66,Osi and the Jupiter,Appalachia
67,Forndom,Flykt
68,Corvus Corax,Venus Vina Musica
69,Ivan Torrent,Afterlife
70,Brothers of Metal,Chain Breaker
71,The HU,Song of Women
72,Týr,Evening Star
73,Heilung,Othan
74,Wardruna,Dagr
75,Audiomachine,Above and Beyond
76,Two Steps From Hell,Never Back Down
77,Forndom,Hemkomst
78,Wardruna,Helvegen
